timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0.0159754,17125098760737253,24,471.7,17.93997,735.6,0,0,0
1.219469,17125098772565195,24,471.7,17.93997,735.6,3.9,4,1.337118E-08
1.246109,17125098772777929,24,471.7,17.93997,735.6,6.200001,6.1,2.68374E-08
1.265377,17125098772947326,24,471.7,17.93997,735.6,7.400001,7.2,5.380902E-08
1.279237,17125098773094406,24,471.7,17.93997,735.6,8.500002,8.500002,1.618604E-07
1.296427,17125098773281599,24,471.7,17.93997,735.6,9.700002,10.1,5.413478E-08
1.317464,17125098773496788,24,471.7,17.93997,735.6,11.1,12.4,0
1.333947,17125098773633536,24,471.7,17.93997,735.6,12.2,14.3,1.091876E-07
1.350961,17125098773861160,24,471.7,17.93997,735.6,13.3,16.2,-2.19326E-07
1.382608,17125098774155344,24,471.7,17.93997,735.6,14.7,19.4,-2.206663E-07
1.403164,17125098774356598,24,471.7,17.93997,735.6,15.2,21,-2.211811E-07
1.424071,17125098774570363,24,471.7,17.93997,735.6,15.1,22.6,-4.421532E-07
1.441848,17125098774729325,24,471.7,17.93997,735.6,14.9,24.1,-4.417398E-07
1.468202,17125098775044712,24,471.7135,17.93997,735.6301,15.3,24.1,-2.212864E-07
1.489305,17125098775187949,24,471.7242,17.93997,735.6542,15.3,24.1,-2.212864E-07
1.503488,17125098775322586,24,471.7315,17.93997,735.6703,15.3,24.1,-2.212864E-07
1.517016,17125098775469292,24,471.7384,17.93997,735.6858,15.3,24.1,-2.212864E-07
1.52979,17125098775592527,24,471.7449,17.93997,735.7004,15.3,24.1,-2.212864E-07
1.542876,17125098775723498,24,471.7516,17.93997,735.7153,15.3,24.1,-2.212864E-07
1.556383,17125098775864730,24,471.7585,17.93997,735.7308,15.3,24.1,-2.212864E-07
1.572043,17125098776018870,24,471.7665,17.93997,735.7487,15.3,24.1,-2.212864E-07
1.584262,17125098776137593,24,471.7727,17.93997,735.7626,15.3,24.1,-2.212864E-07
1.596234,17125098776271632,24,471.7788,17.93997,735.7762,15.3,24.1,-2.212864E-07
1.610783,17125098776404841,24,471.7862,17.93997,735.7928,15.3,24.1,-2.212864E-07
1.624274,17125098776537128,24,471.7931,17.93997,735.8082,15.3,24.1,-2.212864E-07
1.638491,17125098776690853,24,471.8004,17.93997,735.8245,15.3,24.1,-2.212864E-07
1.650517,17125098776808009,24,471.8065,17.93997,735.8382,15.3,24.1,-2.212864E-07
1.663827,17125098776934446,24,471.8133,17.93997,735.8534,15.3,24.1,-2.212864E-07
1.677955,17125098777076081,24,471.8205,17.93997,735.8695,15.3,24.1,-2.212864E-07
1.689757,17125098777192143,24,471.8265,17.93997,735.883,15.3,24.1,-2.212864E-07
1.704529,17125098777339598,24,471.8341,17.93997,735.8998,15.3,24.1,-2.212864E-07
1.717326,17125098777453986,24,471.8406,17.93997,735.9144,15.3,24.1,-2.212864E-07
1.733567,17125098777626446,24,471.8489,17.93997,735.933,15.3,24.1,-2.212864E-07
1.745245,17125098777738561,24,471.8549,17.93997,735.9463,15.3,24.1,-2.212864E-07
1.756742,17125098777870736,24,471.8607,17.93997,735.9594,15.2,24.1,-2.211811E-07
1.775783,17125098778058137,24,471.8707,17.93997,735.981,14.9,24.7,0
1.800838,17125098778307853,24,471.8848,17.93997,736.009,14.3,26.8,0
1.830528,17125098778613163,24,471.904,17.93997,736.0407,13.2,31.2,2.192358E-07
1.856364,17125098778903093,24,471.9222,17.93997,736.0674,12.3,34.30001,2.18458E-07
1.875915,17125098779040389,24,471.9366,17.93997,736.0872,11.8,36,2.180514E-07
1.89295,17125098779220732,24,471.9494,17.93997,736.1042,11.59999,36.90001,0
1.907323,17125098779385402,24,471.9603,17.93997,736.1185,11.5,37.4,4.356322E-07
1.926333,17125098779553778,24,471.9749,17.93997,736.1372,11.5,37.90001,4.356323E-07
1.939044,17125098779679508,24,471.9847,17.93997,736.1497,11.5,38.40001,6.534484E-07
1.952703,17125098779825556,24,471.9955,17.93997,736.1629,11.4,39.10001,6.532173E-07
1.967829,17125098779966652,24,472.0076,17.93997,736.1774,11.39999,39.80001,4.354783E-07
1.983698,17125098780152662,24,472.0205,17.93997,736.1926,11.29999,40.4,-4.353258E-07
2.001839,17125098780309987,24,472.0353,17.93997,736.2098,11.29999,40.70001,4.353257E-07
2.01645,17125098780452803,24,472.0473,17.93997,736.2235,11.29999,41.10001,8.706515E-07
2.029613,17125098780594862,24,472.0582,17.93997,736.2358,11.19999,41.80001,0
2.044352,17125098780736806,24,472.0708,17.93997,736.2493,11.19999,42.90001,4.351747E-07
2.067312,17125098780967312,24,472.0912,17.93997,736.2694,11.19999,45.40001,4.351747E-07
2.086123,17125098781174525,24,472.1085,17.93997,736.2853,11.19999,47.30001,4.351747E-07
2.101998,17125098781326503,24,472.1233,17.93997,736.2986,11.19999,48.20002,4.351747E-07
2.121335,17125098781535429,24,472.1413,17.93997,736.3146,11.19999,48.30002,8.703492E-07
2.136395,17125098781656342,24,472.1554,17.93997,736.3271,11.2,48.30002,8.703492E-07
2.149096,17125098781793202,24,472.1672,17.93997,736.3377,11.2,48.30002,4.351746E-07
2.162155,17125098781911021,24,472.1794,17.93997,736.3486,11.2,48.30002,0
2.173597,17125098782011733,24,472.1901,17.93997,736.3581,11.2,48.30002,0
2.194013,17125098782238681,24,472.2091,17.93997,736.3751,11.2,48.30002,0
2.207128,17125098782365266,24,472.2214,17.93997,736.386,11.2,48.30002,0
2.220025,17125098782503707,24,472.2334,17.93997,736.3968,11.2,48.30002,0
2.234652,17125098782645271,24,472.247,17.93997,736.4089,11.2,48.30002,0
2.246696,17125098782756884,24,472.2583,17.93997,736.4189,11.2,48.30002,0
2.261634,17125098782917225,24,472.2722,17.93997,736.4314,11.2,48.30002,0
2.275086,17125098783059828,24,472.2848,17.93997,736.4426,11.2,48.30002,0
2.292311,17125098783227795,24,472.3008,17.93997,736.4569,11.2,48.30002,0
2.307533,17125098783370094,24,472.3151,17.93997,736.4695,11.2,48.30002,0
2.328907,17125098783591821,24,472.3346,17.93997,736.4877,11.4,47.10001,0
2.35473,17125098783921405,24,472.3564,17.93997,736.5115,11.6,42.50002,4.357876E-07
