timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
0,17139531447464534,1,90,1.59025,0.01,1000
0.0039607,17139531447499646,0,474.6755,17.93997,742.8087,2.999998,336.6,-1.228984E-06
2.93656,17139531476725395,0,474.6755,17.93997,742.8087,1.499998,340.3,-1.574685E-06
2.948642,17139531476846032,0,474.6755,17.93997,742.8087,1.099997,342.3,-1.54775E-06
2.959854,17139531476963010,0,474.6755,17.93997,742.8087,0.5999973,346.6,-1.534209E-06
2.972456,17139531477090713,0,474.6755,17.93997,742.8087,0.5999972,351.1,-1.510862E-06
2.983522,17139531477207046,0,474.6755,17.93997,742.8087,0.7999972,353.6,-1.504255E-06
2.994628,17139531477313075,0,474.6755,17.93997,742.8087,1.399997,358.3,-1.517902E-06
3.005851,17139531477423638,0,474.6755,17.93997,742.8087,1.999998,2.799998,-1.438284E-06
3.017733,17139531477543233,0,474.6755,17.93997,742.8087,2.199998,4.899997,-1.428456E-06
3.029551,17139531477658818,0,474.6755,17.93997,742.8087,2.499998,8.899997,-1.455468E-06
3.040433,17139531477769346,0,474.6755,17.93997,742.8087,2.499998,12.5,-1.522233E-06
3.05287,17139531477892375,0,474.6755,17.93997,742.8087,2.499997,14.2,-1.522233E-06
3.065418,17139531478018332,0,474.6755,17.93997,742.8087,2.699997,17.5,-1.335504E-06
3.07786,17139531478147530,0,474.6755,17.93997,742.8087,2.799997,20.1,-1.38904E-06
3.088575,17139531478258882,0,474.6755,17.93997,742.8087,2.799998,21.79999,-1.602739E-06
3.098656,17139531478354383,0,474.6755,17.93997,742.8087,2.799998,21.99999,-1.49589E-06
3.110983,17139531478469638,0,474.6755,17.93997,742.8087,2.799999,22.1,-1.282191E-06
3.123024,17139531478596336,0,474.6755,17.93997,742.8087,2.799999,22,-1.228766E-06
3.133032,17139531478697388,0,474.6755,17.93997,742.8087,2.799999,21.9,-1.335616E-06
3.145923,17139531478822500,0,474.6755,17.93997,742.8087,2.6,21.2,-1.442228E-06
3.156959,17139531478938155,0,474.6755,17.93997,742.8087,2.3,20.5,-1.468606E-06
3.169281,17139531479060518,0,474.6755,17.93997,742.8087,2.200001,20.2,-1.441806E-06
3.180679,17139531479171075,0,474.6755,17.93997,742.8087,2.200001,20.2,-1.308305E-06
3.19147,17139531479282217,0,474.6755,17.93997,742.8087,2.200002,20.2,-1.388406E-06
3.202887,17139531479391843,0,474.6755,17.93997,742.8087,2.200003,20.2,-1.441806E-06
3.214549,17139531479512478,0,474.6755,17.93997,742.8087,2.200004,20.2,-1.468506E-06
3.388964,17139531481255876,0,474.6755,17.93997,742.8087,2.000004,21.8,-1.441621E-06
3.401213,17139531481378842,0,474.6755,17.93997,742.8087,1.300004,26.6,-1.441114E-06
3.413784,17139531481501397,0,474.6755,17.93997,742.8087,0.6000041,32.2,-1.347435E-06
3.425769,17139531481623303,0,474.6755,17.93997,742.8087,0.4000041,35.29998,-1.440778E-06
3.438088,17139531481752250,0,474.6755,17.93997,742.8087,0.200004,42.29998,-1.440752E-06
3.449162,17139531481864545,0,474.6755,17.93997,742.8087,0.4000041,48.99998,-1.440778E-06
3.461384,17139531481980810,0,474.6755,17.93997,742.8087,0.6000041,54.29998,-1.41414E-06
3.473827,17139531482103589,0,474.6755,17.93997,742.8087,0.7000042,56.29998,-1.414168E-06
3.485821,17139531482224250,0,474.6755,17.93997,742.8087,0.7000043,59.39999,-1.334121E-06
3.498056,17139531482341602,0,474.6755,17.93997,742.8087,0.2000042,60.99998,-1.36738E-06
3.510581,17139531482469421,0,474.6755,17.93997,742.8087,359.7,61.69997,-1.34738E-06
3.523338,17139531482596481,0,474.6755,17.93997,742.8087,359.2,62.19998,-1.387517E-06
3.536017,17139531482725158,0,474.6755,17.93997,742.8087,359,62.29997,-1.30754E-06
3.546055,17139531482824462,0,474.6755,17.93997,742.8087,358.7,62.59998,-1.28099E-06
3.556149,17139531482925119,0,474.6755,17.93997,742.8087,358.6,62.59998,-1.33442E-06
3.567464,17139531483041671,0,474.6755,17.93997,742.8087,358.4,62.59998,-1.387923E-06
4.110012,17139531488466685,0,474.6855,17.93997,742.8138,358.4,62.59998,-1.387923E-06
4.122483,17139531488592697,0,474.7187,17.93997,742.8311,358.4,62.59998,-1.387923E-06
4.133186,17139531488698461,0,474.7472,17.93997,742.8458,358.4,62.59998,-1.387923E-06
4.146172,17139531488822047,0,474.7818,17.93997,742.8637,358.4,62.59998,-1.387923E-06
4.158918,17139531488952951,0,474.8157,17.93997,742.8813,358.4,62.59998,-1.387923E-06
4.170837,17139531489080173,0,474.8475,17.93997,742.8978,358.4,62.59998,-1.387923E-06
4.183406,17139531489200592,0,474.881,17.93997,742.9152,358.4,62.59998,-1.387923E-06
4.195848,17139531489321135,0,474.9141,17.93997,742.9323,358.4,62.59998,-1.387923E-06
4.20842,17139531489450514,0,474.9476,17.93997,742.9496,358.4,62.59998,-1.387923E-06
4.221211,17139531489571964,0,474.9817,17.93997,742.9673,358.4,62.59998,-1.387923E-06
4.233396,17139531489701361,0,475.0141,17.93997,742.9841,358.4,62.59998,-1.387923E-06
4.245663,17139531489818495,0,475.0468,17.93997,743.001,358.4,62.59998,-1.387923E-06
4.257583,17139531489943409,0,475.0786,17.93997,743.0175,358.4,62.59998,-1.387923E-06
4.268299,17139531490049836,0,475.1071,17.93997,743.0323,358.4,62.59998,-1.387923E-06
4.281345,17139531490175883,0,475.1418,17.93997,743.0503,358.4,62.59998,-1.387923E-06
4.292632,17139531490292990,0,475.1719,17.93997,743.0659,358.4,62.59998,-1.387923E-06
4.306135,17139531490425230,0,475.2079,17.93997,743.0845,358.4,62.59998,-1.387923E-06
4.317855,17139531490549842,0,475.2391,17.93997,743.1006,358.4,62.59998,-1.387923E-06
4.330482,17139531490670602,0,475.2727,17.93997,743.1181,358.4,62.59998,-1.387923E-06
4.343156,17139531490802169,0,475.3065,17.93997,743.1357,358.4,62.59998,-1.387923E-06
4.353716,17139531490903540,0,475.3346,17.93997,743.1503,358.4,62.59998,-1.387923E-06
4.365755,17139531491024112,0,475.3666,17.93997,743.1669,358.4,62.59998,-1.387923E-06
4.377927,17139531491142310,0,475.399,17.93997,743.1838,358.4,62.59998,-1.387923E-06
4.390265,17139531491266618,0,475.4319,17.93997,743.2008,358.4,62.59998,-1.387923E-06
4.402493,17139531491388017,0,475.4645,17.93997,743.2177,358.4,62.59998,-1.387923E-06
4.415647,17139531491523790,0,475.4995,17.93997,743.2358,358.4,62.59998,-1.387923E-06
4.427917,17139531491642445,0,475.5322,17.93997,743.2527,358.4,62.59998,-1.387923E-06
4.439834,17139531491763309,0,475.5639,17.93997,743.2692,358.4,62.59998,-1.387923E-06
4.451832,17139531491882671,0,475.5959,17.93997,743.2858,358.4,62.59998,-1.387923E-06
4.463744,17139531492005444,0,475.6276,17.93997,743.3022,358.4,62.59998,-1.387923E-06
4.475582,17139531492121246,0,475.6591,17.93997,743.3185,358.4,62.59998,-1.387923E-06
4.487525,17139531492241909,0,475.6909,17.93997,743.335,358.4,62.59998,-1.387923E-06
4.497981,17139531492343677,0,475.7188,17.93997,743.3495,358.4,62.59998,-1.387923E-06
4.510369,17139531492469680,0,475.7518,17.93997,743.3666,358.4,62.59998,-1.387923E-06
4.522593,17139531492589710,0,475.7844,17.93997,743.3835,358.4,62.59998,-1.387923E-06
4.534524,17139531492710784,0,475.8161,17.93997,743.3999,358.4,62.59998,-1.387923E-06
4.54688,17139531492831393,0,475.8491,17.93997,743.417,358.4,62.59998,-1.387923E-06
4.559388,17139531492961280,0,475.8824,17.93997,743.4343,358.4,62.59998,-1.387923E-06
4.569886,17139531493071668,0,475.9085,17.93997,743.4447,358.4,62.59998,-1.387923E-06
